stim_type	state_marker	cell_population	adj_p_val
TNFa	pBtk_Itk	Mature CD8+ T	4.65E-02
PVO4	pCrkL	Mature CD8+ T	1.08E-02
PVO4	pMAPKAPK2	Mature CD8+ T	2.11E-02
PVO4	pP38	Mature CD8+ T	6.34E-04
PMAiono	pP38	Mature CD8+ T	8.76E-03
PVO4	pPLCgamma2	Mature CD8+ T	1.06E-04
PMAiono	pS6	Mature CD8+ T	1.93E-02
PVO4	pSHP2	Mature CD8+ T	2.06E-02
PVO4	pSLP_76	Mature CD8+ T	2.89E-04
PVO4	pSrcFK	Mature CD8+ T	9.14E-03
SCF	pSTAT3	Mature CD8+ T	1.26E-02
IFNad	pSTAT3	Mature CD8+ T	6.85E-03
PVO4	pSTAT5	Mature CD8+ T	1.22E-02
IFNad	pSTAT5	Mature CD8+ T	1.54E-02
IL7	pSTAT5	Mature CD8+ T	4.31E-03
PVO4	pZAP70_Syk	Mature CD8+ T	1.20E-02
PVO4	pPLCgamma2	Megakaryocyte	4.32E-02
PVO4	IkBalpha	MEP	2.25E-02
LPS	IkBalpha	MEP	2.28E-02
IFNad	IkBalpha	MEP	4.16E-02
TNFa	IkBalpha	MEP	7.69E-05
SCF	pCREB	MEP	1.73E-02
TNFa	pCREB	MEP	2.41E-02
PVO4	pCREB	MEP	2.68E-02
PVO4	pERK1_2	MEP	2.24E-02
PMAiono	pERK1_2	MEP	3.53E-02
TNFa	pH3	MEP	3.28E-02
PVO4	pP38	MEP	1.63E-03
PVO4	pPLCgamma2	MEP	8.07E-03
TNFa	pS6	MEP	1.03E-02
PVO4	pS6	MEP	3.20E-02
PMAiono	pS6	MEP	3.66E-02
TPO	pS6	MEP	4.84E-02
SCF	pS6	MEP	5.31E-03
PVO4	pSHP2	MEP	4.55E-02
IFNad	pSTAT3	MEP	2.71E-02
IFNad	pSTAT5	MEP	2.59E-03
GMCSF	pSTAT5	MEP	4.49E-03
IL3	pSTAT5	MEP	5.20E-03
TPO	pSTAT5	MEP	9.73E-03
PVO4	pCREB	MPP	4.66E-02
PMAiono	pH3	MPP	1.68E-02
PVO4	pP38	MPP	7.66E-03
PVO4	pPLCgamma2	MPP	7.59E-03
PVO4	pSLP_76	MPP	2.32E-02
IFNad	pSTAT3	MPP	2.00E-02
GCSF	pSTAT3	MPP	9.37E-03
GMCSF	pSTAT5	MPP	1.01E-02
